date,description,amount
2026-01-05,Salary Credit,85000
2026-01-06,Swiggy Order,-420
2026-01-08,Uber Trip,-230
2026-01-12,Amazon Purchase,-3100
2026-01-18,Netflix Subscription,-649
2026-01-22,Zomato Dinner,-780
2026-01-28,Rent Payment,-18000
2026-02-03,Salary Credit,85000
2026-02-04,Zomato Lunch,-540
2026-02-07,Swiggy Order,-610
2026-02-10,Ola Ride,-190
2026-02-15,Flipkart Shopping,-2200
2026-02-20,Swiggy Order,-880
2026-02-18,Netflix Subscription,-649
2026-02-19,Spotify,-119
2026-02-25,Electricity Bill,-2100
2026-02-27,Rent Payment,-18000
2026-03-02,Salary Credit,87000
2026-03-05,Zomato Orders,-1200
2026-03-06,Swiggy Order,-950
2026-03-09,Uber Trip,-260
2026-03-14,Amazon Purchase,-1500
2026-03-18,Netflix Subscription,-649
2026-03-19,Spotify,-119
2026-03-21,Zomato Night,-640
2026-03-26,Groceries Mart,-4300
2026-03-29,Rent Payment,-18000
2026-04-01,Salary Credit,87000
2026-04-03,Zomato,-1500
2026-04-04,Swiggy,-700
2026-04-08,Uber,-300
2026-04-10,Netflix,-649
2026-04-12,Myntra,-2800
2026-04-15,Zomato,-920
2026-04-18,Amazon Electronics,-12500
2026-04-19,Spotify,-119
